dataset,split,fold,kc_id,train_freq,log_train_freq,n_train_learners,n_train_items,train_correct_rate,difficulty_proxy,median_sequence_position_train
xes3g5m,learner_based,0,0,5381,8.590815331286851,3402,16,0.7219847611968035,0.27801523880319645,0.2913752913752914
xes3g5m,learner_based,0,1,5941,8.689801056022553,5483,11,0.7761319643157718,0.2238680356842282,0.7578947368421053
xes3g5m,learner_based,0,2,33805,10.428393580510123,10600,41,0.9148055021446532,0.08519449785534683,0.8366013071895425
xes3g5m,learner_based,0,3,11205,9.32420462812523,3687,24,0.7282463186077643,0.27175368139223566,0.2045028142589118
xes3g5m,learner_based,0,4,633,6.452048954437226,633,1,0.8973143759873617,0.10268562401263825,0.210727969348659
xes3g5m,learner_based,0,5,18609,9.831454349636296,9672,21,0.8876350153151701,0.11236498468482992,0.8007662835249042
xes3g5m,learner_based,0,6,31549,10.35932886796936,10199,51,0.7403721195600494,0.25962788043995055,0.2863849765258216
xes3g5m,learner_based,0,7,11934,9.387230538772931,7827,15,0.8055136584548349,0.1944863415451651,0.6471540072339615
xes3g5m,learner_based,0,8,4673,8.449770515098804,4027,13,0.8617590413010914,0.13824095869890862,0.22957198443579765
xes3g5m,learner_based,0,9,24243,10.095924443071176,9529,50,0.7949098708905663,0.2050901291094337,0.10070257611241218
xes3g5m,learner_based,0,10,27284,10.214092379620332,9224,47,0.7381249083712066,0.2618750916287934,0.3536604688009693
xes3g5m,learner_based,0,11,13197,9.487820581943367,8336,24,0.811472304311586,0.188527695688414,0.3067484662576687
xes3g5m,learner_based,0,12,10023,9.212737496575905,4503,21,0.6900129701686122,0.3099870298313878,0.28113879003558717
xes3g5m,learner_based,0,13,4763,8.46884293047519,3363,9,0.7984463573378123,0.20155364266218767,0.2733485193621868
xes3g5m,learner_based,0,14,27046,10.205331372394003,7860,37,0.8545810840789766,0.1454189159210234,0.9295493595751327
xes3g5m,learner_based,0,15,2511,7.828834527588089,2298,8,0.8156113102349661,0.18438868976503386,0.31547619047619047
xes3g5m,learner_based,0,16,12511,9.434443462785092,5181,29,0.7483014946846774,0.25169850531532256,0.26215644820295986
xes3g5m,learner_based,0,17,6339,8.754634047431272,6120,12,0.8439817005836883,0.15601829941631173,0.7288732394366197
xes3g5m,learner_based,0,18,105754,11.568880377114676,12338,137,0.8328384741948295,0.16716152580517052,0.2937853107344633
xes3g5m,learner_based,0,19,702,6.555356891810665,499,3,0.7749287749287749,0.22507122507122512,0.37018100984439506
xes3g5m,learner_based,0,20,5764,8.65956043270316,1447,23,0.7283136710617627,0.2716863289382373,0.3347685833202013
xes3g5m,learner_based,0,21,445,6.100318952020064,445,1,0.9101123595505618,0.0898876404494382,0.3373134328358209
xes3g5m,learner_based,0,22,2081,7.641084249174914,1174,6,0.802498798654493,0.19750120134550697,0.31412103746397696
xes3g5m,learner_based,0,23,20989,9.951801412814678,8014,31,0.8482538472533232,0.1517461527466768,0.7043795620437956
xes3g5m,learner_based,0,24,70202,11.159146324143522,11372,75,0.8709865815788724,0.12901341842112757,0.45429362880886426
xes3g5m,learner_based,0,25,6718,8.81269461292015,4827,15,0.7499255730872283,0.2500744269127717,0.20155038759689922
xes3g5m,learner_based,0,26,7140,8.87360810154911,5429,9,0.8025210084033614,0.19747899159663862,0.2196969696969697
xes3g5m,learner_based,0,27,349,5.857933154483459,345,5,0.7593123209169055,0.24068767908309452,0.4101010101010101
xes3g5m,learner_based,0,28,2792,7.934871565945177,1434,19,0.8631805157593123,0.13681948424068768,0.2628006668254346
